nomor_pendaftaran,JK,bidikmisi,Sekolah,Kabupaten,Provinsi,Pilihan 1,Pilihan 2,Ranking Sekolah,Nilai Mapel UN,Lulus pada Prodi,Lulus Pilihan,X1,X2,X3,X4,X5,X6,X7,X8,X9,XT,IP Sem 1,IP Sem 2,Predikat Semester 1,Predikat Semester 2
4180385195,P,Reguler,SMAN 2 TAMBUN SELATAN,Kab Bekasi,Jawa Barat,MANAJEMEN,ILMU POLITIK,187,85.94,Tidak Lulus,Tidak Lulus,10.9,10.7,1.1,0,10.7,10.7,10.7,10.7,7.5,73.1,,,,
4180385992,L,Reguler,SMAN 11 GARUT,Kab Garut,Jawa Barat,KESEHATAN MASYARAKAT,TEKNIK SIPIL ,415,80.71,Tidak Lulus,Tidak Lulus,10.1,10.1,1,0,10.1,10.1,10.1,10.1,9.4,71,,,,
4180386233,P,Reguler,SMAN SITURAJA,Kab Sumedang,Jawa Barat,AKUNTANSI,MANAJEMEN,174,82.72,Tidak Lulus,Tidak Lulus,10.5,10.3,1,0,10.3,10.3,10.3,10.3,7.5,70.7,,,,
4180386275,L,Reguler,MAN AWIPARI,Kota Tasikmalaya,Jawa Barat,EKONOMI SYARIAH,PENDIDIKAN BAHASA DAN SASTRA INDONESIA,136,82.13,EKONOMI SYARIAH,pil_1,10.4,10.3,1,0,10.3,10.3,10.3,10.3,11.3,74,3.33,3,,
4180386405,L,Bidik Misi,MAS YPIA CIKERIS,Kab Purwakarta,Jawa Barat,PENDIDIKAN BIOLOGI,Tidak Memilih,29,83.42,Tidak Lulus,Tidak Lulus,10.5,10.4,1,0,10.4,10.4,10.4,10.4,6.3,69.9,,,,
4180386460,P,Reguler,SMKN 42 JAKARTA,Kota Jakarta Barat,DKI Jakarta,EKONOMI PEMBANGUNAN,EKONOMI SYARIAH,71,82.92,Tidak Lulus,Tidak Lulus,10.5,10.4,1,0,10.4,10.4,10.4,10.4,7.5,70.8,,,,
4180386804,L,Reguler,SMAN 1 CIWARINGIN,Kab Cirebon,Jawa Barat,"PENDIDIKAN JASMANI, KESEHATAN DAN REKREASI ",Tidak Memilih,72,83.75,Tidak Lulus,Tidak Lulus,10.6,10.5,1,0,10.5,10.5,10.5,10.5,7.5,71.4,,,,
4180270462,P,Reguler,SMAS TERPADU RIYADLUL ULUM,Kota Tasikmalaya,Jawa Barat,PENDIDIKAN MATEMATIKA,PENDIDIKAN BIOLOGI,125,87.27,PENDIDIKAN MATEMATIKA,pil_1,11.1,10.9,1,0,10.9,10.9,10.9,10.9,11.3,77.9,,,,
4180387247,P,Bidik Misi,MAN PANGANDARAN,Kab Ciamis,Jawa Barat,MANAJEMEN,ILMU POLITIK,54,86.24,Tidak Lulus,Tidak Lulus,10.8,10.8,1,0,10.8,10.8,10.8,10.8,10,75.7,,,,
4180387549,P,Reguler,SMAS ISLAM CIPASUNG,Kab Tasikmalaya,Jawa Barat,MANAJEMEN,Tidak Memilih,96,82.83,Tidak Lulus,Tidak Lulus,10.5,10.4,1,0,10.4,10.4,10.4,10.4,10.6,73.9,,,,
